date,killed_in_lebanon,palestine_children_tfp,palestine_adults_tfp,israel_children,israel_adults,palestine_total,palestine_children_adj,palestine_contested,palestine_adults_adj
2023-11-25,115,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-11-26,115,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-11-27,,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-11-28,115,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-11-29,115,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-11-30,115,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-12-01,118,6150,8650,24,1320,14800,4587.293268110878,1562.7067318891222,8650
2023-12-02,119,6387,8820,24,1320,15207,4713.443832983927,1673.5561670160732,8820
2023-12-03,119,6600,8923,24,1322,15523,4811.388743303051,1788.6112566969487,8923
2023-12-04,119,6800,9099,24,1325,15899,4927.930788492895,1872.0692115071051,9099
2023-12-05,121,7112,9136,24,1330,16248,5036.104122990915,2075.895877009085,9136
2023-12-06,122,7550,9277,24,1333,16827,5215.566474493361,2334.433525506639,9277
2023-12-07,128,7729,9448,24,1338,17177,5324.049761239226,2404.9502387607736,9448
2023-12-08,128,7729,9758,24,1342,17487,5420.134958071279,2308.8650419287214,9758
2023-12-09,129,7870,9830,24,1346,17700,5486.154786862334,2383.845213137666,9830
2023-12-10,129,7875,10122,24,1343,17997,5578.210604472397,2296.789395527603,10122
2023-12-11,132,7900,10305,24,1349,18205,5642.680672024226,2257.3193279757743,10305
2023-12-12,133,8000,10412,24,1350,18412,5706.8407873282085,2293.1592126717915,10412
2023-12-13,135,8000,10608,24,1360,18608,5767.591427905893,2232.4085720941066,10608
2023-12-14,137,8000,10787,24,1360,18787,5823.072880270207,2176.927119729793,10787
2023-12-14,137,8000,10787,24,1361,18787,5823.072880270207,2176.927119729793,10787
2023-12-15,141,8000,10800,24,1364,18800,5827.102259492196,2172.897740507804,10800
2023-12-16,141,8000,11017,24,1364,19017,5894.361897274633,2105.6381027253674,11017
2023-12-17,144,8000,11235,24,1364,19235,5961.931487304915,2038.0685126950848,11235
2023-12-18,144,8000,11453,24,1374,19453,6029.501077335197,1970.498922664803,11453
2023-12-19,149,8000,11667,24,1377,19667,6095.830858374097,1904.1691416259027,11667
2023-12-20,153,8000,11797,24,1379,19797,6136.12465059399,1863.8753494060102,11797
2023-12-21,155,8000,11927,24,1383,19927,6176.418442813883,1823.5815571861167,11927
2023-12-22,157,8000,12057,24,1385,20057,6216.712235033776,1783.2877649662241,12057
2023-12-23,160,8200,12058,24,1385,20258,6279.012636850687,1920.9873631493128,12058
2023-12-24,161,8200,12224,24,1385,20424,6330.464709993012,1869.5352900069884,12224
2023-12-25,162,8500,12174,24,1385,20674,6407.952771954344,2092.047228045656,12174
2023-12-26,167,8500,12415,24,1407,20915,6482.651263685068,2017.3487363149316,12415
2023-12-27,167,8800,12310,24,1407,21110,6543.091952014908,2256.908047985092,12310
2023-12-28,167,8800,12520,24,1410,21320,6608.181924062427,2191.8180759375728,12520
2023-12-29,169,8800,12707,24,1411,21507,6666.142994409503,2133.8570055904966,12707
2023-12-30,170,9000,12672,24,1413,21672,6717.285115303983,2282.714884696017,12672
2023-12-31,170,9100,12722,24,1413,21822,6763.777952480783,2336.222047519217,12722
2024-01-01,174,9280,12698,24,1413,21978,6812.130503144654,2467.8694968553464,12698
2024-01-02,181,9280,12905,24,1416,22185,6876.290618448637,2403.7093815513626,12905
2024-01-03,190,9400,12913,24,1418,22313,6915.96450617284,2484.0354938271603,12913
2024-01-04,190,9730,12708,24,1418,22438,6954.708537153506,2775.291462846494,12708
2024-01-04,190,9730,12708,24,1418,22438,6954.708537153506,2775.291462846494,12708
2024-01-05,190,9730,12870,24,1418,22600,7004.920801304449,2725.079198695551,12870
2024-01-06,196,10000,12722,24,1418,22722,7042.734975541579,2957.265024458421,12722
2024-01-07,196,10000,12835,24,1419,22835,7077.759579548101,2922.240420451899,12835
2024-01-08,197,10000,13084,24,1419,23084,7154.937689261588,2845.0623107384117,13084
2024-01-09,201,10000,13210,24,1428,23210,7193.9916724901,2806.0083275098996,13210
2024-01-10,203,10000,13357,24,1429,23357,7239.554652923363,2760.4453470766366,13357
2024-01-11,205,10300,13169,24,1429,23469,7274.2693046820405,3025.7306953179595,13169
2024-01-12,205,10300,13408,24,1429,23708,7348.347891917074,2951.652108082926,13408
2024-01-13,205,10400,13443,24,1429,23843,7390.191445376194,3009.8085546238062,13443
2024-01-14,205,10600,13368,24,1431,23968,7428.93547635686,3171.06452364314,13368
2024-01-15,205,10600,13500,24,1431,24100,7469.849173072444,3130.1508269275564,13500.000000000002
2024-01-16,205,10600,13685,24,1433,24285,7527.19033892383,3072.8096610761704,13685
2024-01-17,207,10600,13848,24,1436,24448,7577.712555322618,3022.287444677382,13848
2024-01-18,207,10800,13820,24,1436,24620,7631.024341952015,3168.9756580479852,13820
2024-01-19,207,10800,13962,24,1436,24762,7675.037561146051,3124.9624388539487,13962
2024-01-20,209,10800,14127,24,1436,24927,7726.179682040531,3073.8203179594693,14127.000000000002
2024-01-21,212,10800,14305,24,1438,25105,7781.351182156999,3018.648817843001,14305
2024-01-22,216,11000,14295,24,1441,25295,7840.2421092476125,3159.7578907523875,14294.999999999998
2024-01-23,217,11000,14490,24,1462,25490,7900.682797577451,3099.3172024225487,14490
2024-01-24,217,11000,14700,24,1462,25700,7965.77276962497,3034.2272303750296,14700
2024-01-25,217,11000,14900,24,1462,25900,8027.7632191940365,2972.2367808059635,14900
2024-01-26,225,11000,15083,24,1463,26083,8084.484480549732,2915.5155194502677,15082.999999999998
2024-01-27,225,11000,15257,24,1463,26257,8138.416171674819,2861.5838283251805,15257
2024-01-28,231,11000,15422,24,1463,26422,8189.558292569299,2810.441707430701,15422
2024-01-29,233,11000,15637,24,1463,26637,8256.198025856045,2743.801974143955,15637.000000000002
2024-01-30,233,11500,15251,24,1463,26751,8291.532582110412,3208.4674178895875,15251
2024-01-31,235,11500,15400,24,1467,26900,8337.715467039367,3162.2845329606334,15400.000000000002
2024-02-01,235,11500,15519,24,1467,27019,8374.59978453296,3125.4002154670397,15518.999999999998
2024-02-02,237,11500,15631,24,1467,27131,8409.314436291637,3090.6855637083627,15631.000000000002
2024-02-03,237,12000,15238,24,1467,27238,8442.479326811088,3557.520673188912,15238
